model_name,patient_id,params,flops,f1,precision,recall,training_time
Baseline_CNN1D,chb01,151778,12.68M,0.5276073619631901,0.3644067796610169,0.9555555555555556,36.408045291900635
Baseline_CNN1D,chb01,151778,12.68M,0.5276073619631901,0.3644067796610169,0.9555555555555556,36.346707820892334
Baseline_CNN_LSTM,chb01,48738,7.41M,0.2265193370165746,0.12933753943217666,0.9111111111111111,32.06403970718384
Baseline_Transformer,chb01,113986,0.95M,0.3916083916083916,0.24778761061946902,0.9333333333333333,32.6378128528595
Baseline_DeepCNN,chb01,587874,24.41M,0.11748998664886515,0.0625,0.9777777777777777,59.518919229507446
Baseline_CNN1D,chb01,151778,0,0.5276073619631901,0.3644067796610169,0.9555555555555556,0
Baseline_CNN1D,chb01,151778,0,0.8765432098765432,0.9861111111111112,0.7888888888888889,74.14993095397949
Baseline_CNN_LSTM,chb01,48738,0,0.7692307692307693,0.9090909090909091,0.6666666666666666,61.517712354660034
Baseline_Transformer,chb01,113986,0,0.6936936936936937,0.5833333333333334,0.8555555555555555,75.19425940513611
Baseline_DeepCNN,chb01,587874,0,0.88,0.9058823529411765,0.8555555555555555,100.01943612098694
Baseline_CNN1D,chb01,151778,0,0.8765432098765432,0.9861111111111112,0.7888888888888889,0
Baseline_CNN_LSTM,chb01,48738,0,0.7692307692307693,0.9090909090909091,0.6666666666666666,0
Baseline_Transformer,chb01,113986,0,0.6936936936936937,0.5833333333333334,0.8555555555555555,0
Baseline_DeepCNN,chb01,587874,0,0.88,0.9058823529411765,0.8555555555555555,0
Baseline_CNN1D,chb01,151778,12.68M,0.8765432098765432,0.9861111111111112,0.7888888888888889,0
Baseline_CNN_LSTM,chb01,48738,7.41M,0.7692307692307693,0.9090909090909091,0.6666666666666666,0
Baseline_Transformer,chb01,113986,0.95M,0.6936936936936937,0.5833333333333334,0.8555555555555555,0
Baseline_DeepCNN,chb01,587874,24.41M,0.88,0.9058823529411765,0.8555555555555555,0
Baseline_CNN1D,chb01,151778,12.68M,0.9431818181818182,0.9651162790697675,0.9222222222222223,190.2592852115631
Baseline_CNN_LSTM,chb01,48738,7.41M,0.8061224489795918,0.7452830188679245,0.8777777777777778,142.43638491630554
Baseline_Transformer,chb01,113986,0.95M,0.7368421052631579,0.6470588235294118,0.8555555555555555,161.00744462013245
Baseline_DeepCNN,chb01,587874,24.41M,0.9195402298850575,0.9523809523809523,0.8888888888888888,239.951504945755
